bar,start,2017,id,band,lanenr,number
Agnetha Fältskog,1972,1982,lvoc,Abba,0,1
Björn Ulvaeus,1972,1982,guitar,Abba,1,1
Björn Ulvaeus,1972,1982,voc,Abba,1,2
Anni-Frid Lyngstad,1972,1982,voc,Abba,2,1
Benny Anderson,1972,1982,voc,Abba,2,1
Dave,1973,1974,lvoc,ACDC,0,1
Bon,1974,1980,lvoc,ACDC,1,1
Brian,1980,2016,lvoc,ACDC,2,1
Axl,2016,2017,lvoc,ACDC,3,1
Angus,1973,2017,guitar,ACDC,4,1
Malcolm,1973,2014,guitar,ACDC,5,1
Stevie,1988,1988,guitar,ACDC,6,1
Stevie,2014,2017,guitar,ACDC,6,2
Mark,1975,1977,bass,ACDC,7,1
Cliff,1977,2016,bass,ACDC,8,1
Phil,1975,1983,drums,ACDC,9,1
Simon,1983,1989,drums,ACDC,10,1
Chris,1989,1994,drums,ACDC,11,
Phil,1994,2015,drums,ACDC,12,1
Chris,2015,2017,drums,ACDC,11,2
Steven Tyler,1970,2017,voc,Aerosmith,0,1
Steven Tyler,1970,2017,key,Aerosmith,0,2
Joe Perry,1970,1979,guitar,,Aerosmith,1,1
Joe Perry,1984,2017,guitar,Aerosmith,1,2
Joe Perry,1970,1979,voc,,Aerosmith,1,3
Joe Perry,1984,2017,voc,Aerosmith,1,4
Tom Hamilton,1970,2017,bass,Aerosmith,2,1
Joey Kramer,1970,2017,drums,Aerosmith,3,1
Brad Whitford,1971,1981,guitar,Aerosmith,4,1
Brad Whitford,1984,2017,guitar,Aerosmith,4,2
Ray Tabano,1970,1971,guitar,,Aerosmith,5,1
Jimmy Crespo,1979,1984,guitar,,Aerosmith,6,1
Jimmy Crespo,1979,1984,voc,Aerosmith,6,2
Rick Dufay,1981,1984,guitar,Aerosmith,7,1
Barry Gibb,1958,2003,guitar
Barry Gibb,2009,2012,guitar
Barry Gibb,1958,2003,voc,Bee Gees,0,1
Barry Gibb,2009,2012,voc,Bee Gees,0,2
Robin Gibb,1958,2003,key,Bee Gees,1,1
Robin Gibb,1958,2003,voc,Bee Gees,1,2
Maurice Gibb,1958,2003,voc,Bee Gees,2,1
Maurice Gibb,1958,2003,bass,Bee Gees,2,2
Colin Petersen,1967,1969,drums,Bee Gees,3,1
Vince Melouney,1967,1968,guitar,Bee Gees,4,1
Geoff Bridgford,1971,1972,drums,Bee Gees,5,1
Tak Matsumoto,1988,2017,guitar,Bz,0,1
Koshi Inaba,1988,2017,voc,Bz,1,1
Karen Carpenter,1969,1983,voc,The Carpenters,0,1
Richard Carpenter,1969,1983,voc,The Carpenters,1,1
Kath,1967,1978,guitars,Chicago,0,1
Kath,1967,1978,voc,Chicago,0,2
Dacus,1978,1980,guitars,Chicago,1,1
Dacus,1978,1980,voc,Chicago,1,2
Pinnick,1980,1986,guitars,Chicago,2,1
Bailey,1986,1995,guitars,Chicago,3,1
Bailey,1986,1995,voc,Chicago,3,2
Howland,1995,2017,guitars,Chicago,4,1
Howland,1995,2017,voc,Chicago,4,2
Lamm,1967,2017,keys,Chicago,5,1
Lamm,1967,2017,voc,Chicago,5,2
Champlin,1981,2009,keys,Chicago,6,1
Champlin,1981,2009,voc,Chicago,6,2
Pardini,2009,2017,keys,Chicago,7,1
Pardini,2009,2017,voc,Chicago,7,2
Cetera,1967,1985,bass,Chicago,8,1
Cetera,1967,1985,voc,Chicago,8,2
Scheff,1985,2016,bass,Chicago,9,1
Scheff,1985,2016,voc,Chicago,9,2
Coffey,2016,2017,bass,Chicago,10,1
Coffey,2016,2017,voc,Chicago,10,2
Seraphine,1967,1990,drums,Chicago,11,1
Seraphine,2016,2016,drums,Chicago,11,2
Imboden,1990,2017,drums,Chicago,12,1
Loughnane,1967,2017,horns,Chicago,13,1
Pankow,1967,2017,horns,Chicago,14,1
Parazaider,1967,2017,horns,Chicago,15,1
Oliveira,1973,1981,percussion,Chicago,16,1
Hester,2009,2012,percussion,Chicago,17,1
WReyes,2012,2017,percussion,Chicago,18,1
Glenn Frey,1971,1980,guitar,Eagles,0,1
Glenn Frey,1994,2016,guitar,Eagles,0,2
Bernie Leadon,1971,1976,guitar,Eagles,1,1
Bernie Leadon,2013,2016,guitar,Eagles,1,2
Don Felder,1974,1980,guitar,Eagles,3,1
Don Felder,1994,2001,guitar,Eagles,3,2
Joe Walsh,1976,1980,guitar,Eagles,4,1
Joe Walsh,1994,2016,guitar,Eagles,4,1
Randy Meisner,1971,1977,bass,Eagles,5,1
Timothy B. Schmit,1977,1980,bass,Eagles,6,1
Timothy B. Schmit,1994,2016,bass,Eagles,6,2
Don Henley,1971,1980,drums,Eagles,7,1
Don Henley,1994,2016,drums,Eagles,7,2
Glenn Frey,1971,1980,key,Eagles,8,1
Glenn Frey,1994,2016,key,Eagles,8,2
Joe Walsh,1976,1980,guitar,Eagles,4,3
Joe Walsh,1994,2016,key,Eagles,4,4
Don Henley,1994,2016,guitar,Eagles,7,3
Glenn Frey,1971,1980,voc,Eagles,8,1
Glenn Frey,1994,2016,voc,Eagles,8,2
Bernie Leadon,1971,1976,voc,Eagles,1,3
Bernie Leadon,2013,2016,voc,Eagles,1,4
Don Felder,1974,1980,voc,Eagles,3,3
Don Felder,1994,2001,voc,Eagles,3,4
Joe Walsh,1976,1980,voc,Eagles,4,5
Joe Walsh,1994,2016,voc,Eagles,4,6
Randy Meisner,1971,1977,voc,Eagles,5,2
Timothy B. Schmit,1977,1980,voc,Eagles,6,3
Timothy B. Schmit,1994,2016,voc,,Eagles,6,4
Don Henley,1971,1980,voc,Eagles,7,3
Don Henley,1994,2016,voc,Eagles,7,4
Jimmy Page,1968,1980,guitar,Led Zeppelin,0,1
Jimmy Page,1985,1986,guitar,Led Zeppelin,0,2
Jimmy Page,1988,1989,guitar,Led Zeppelin,0,3
Jimmy Page,1995,1996,guitar,Led Zeppelin,0,4
Jimmy Page,2007,2008,guitar,Led Zeppelin,0,5
Robert Plant,1968,1980,lvoc,Led Zeppelin,1,1
Robert Plant,1985,1986,lvoc,Led Zeppelin,1,2
Robert Plant,1988,1989,lvoc,Led Zeppelin,1,3
Robert Plant,1995,1996,lvoc,Led Zeppelin,1,4
Robert Plant,2007,2008,lvoc,Led Zeppelin,1,5
John Paul Jones,1968,1980,key,Led Zeppelin,2,1
John Paul Jones,1985,1986,key,Led Zeppelin,2,2
John Paul Jones,1988,1989,key,Led Zeppelin,2,3
John Paul Jones,1995,1996,key,Led Zeppelin,2,4
John Paul Jones,2007,2008,key,Led Zeppelin,2,5
John Paul Jones,1968,1980,bass2,Led Zeppelin,2,6
John Paul Jones,1985,1986,bass2,Led Zeppelin,2,7
John Paul Jones,1988,1989,bass2,Led Zeppelin,2,8
John Paul Jones,1995,1996,bass2,Led Zeppelin,2,9
John Paul Jones,2007,2008,bass2,Led Zeppelin,2,10
John Bonham,1968,1980,drums,Led Zeppelin,3,1
Hetfield,1981,2017,lvoc,Metallica,0,1
Lars,1981,2017,drums,Metallica,1,1
Ron,1982,1982,bass,Metallica,2,1
Mustaine,1982,1983,guitar,Metallica,3,1
Mustaine,1982,1983,voc,Metallica,3,2
Cliff,1982,1986,bass,Metallica,4,1
Cliff,1982,1986,voc,Metallica,4,2
Kirk,1983,2017,guitar,Metallica,5,1
Kirk,1983,2017,voc,Metallica,5,2
Newsted,1986,2001,bass,Metallica,6,1
Newsted,1986,2001,voc,Metallica,6,2
Trujillo,2003,2017,bass,Metallica,7,1
Trujillo,2003,2017,voc,Metallica,7,2
Roger Waters,1965,1985,bass,Pink Floyd,0,1
Roger Waters,2005,2006,bass,Pink Floyd,0,2
Roger Waters,1965,1985,voc,Pink Floyd,0,3
Roger Waters,2005,2006,voc,Pink Floyd,0,4
David Gilmour,1967,1995,guitar,Pink Floyd,1,1
David Gilmour,2005,2006,guitar,Pink Floyd,1,2
David Gilmour,2014,2015,guitar,Pink Floyd,1,3
David Gilmour,1967,1995,voc,Pink Floyd,1,4
David Gilmour,2005,2006,voc,Pink Floyd,1,5
David Gilmour,2014,2015,voc,Pink Floyd,1,6
Nick Mason,1965,1995,drums,Pink Floyd,2,1
Nick Mason,2005,2006,drums,Pink Floyd,2,2
Nick Mason,2014,2015,drums,Pink Floyd,2,3
Richard Wright,1965,1979,key,Pink Floyd,3,1
Richard Wright,1987,1995,key,Pink Floyd,3,2
Richard Wright,2005,2006,key,Pink Floyd,3,3
Richard Wright,1965,1979,voc,Pink Floyd,3,4
Richard Wright,1987,1995,voc,Pink Floyd,3,5
Richard Wright,2005,2006,voc,Pink Floyd,3,6
Syd Barrett,1965,1968,guitar,Pink Floyd,4,1
Brian May,1970,2017,guitar,Queen,0,1
Brian May,1970,2017,voc,Queen,0,2
Roger Taylor,1970,2017,drums,Queen,1,1
Roger Taylor,1970,2017,voc,Queen,1,2
Freddie Mercury,1970,1991,piano,Queen,2,1
Freddie Mercury,1970,1991,voc,Queen,2,2
John Deacon,1971,1997,bass,Queen,3,1
Paul Rodgers,2004,2009,lvoc,Queen,4,1
Adam Lambert,2011,2017,lvoc,Queen,5,1
kiedis,1983,1986,lvoc,Red Hot chili Peppers,0,1
kiedis,1986,2017,lvoc,Red Hot chili Peppers,0,2
flea,1983,2017,bass,Red Hot chili Peppers,1,1
smith,1988,2017,drums,Red Hot chili Peppers,2,1
klinghoffer,2007,2017,guitar,Red Hot chili Peppers,3,1
slovak,1983,1983,guitar,Red Hot chili Peppers,4,1
